seqID	E_f_all	d_f_all	n_f_all	E_f_max_all	d_f_max_all
>P2_F12_66	6.11870148553	61.1317048671	11.0336399501	4.584326906509999	54
>P1_B12_38	5.88295350205	6.85441829242	3.7217234584599996	5.28399130441	2
>P1_F04_36	6.905098521910001	8.38792448644	1.97285407616	6.702946863459999	2
>P3_A07_69	6.36931807092	25.663461868899997	7.37187449697	5.28617827299	6
>P2_D10_66	5.29845894322	72.84227925350001	3.8539078826899997	4.96631228242	83
>P2_H06_40	5.997736012819999	58.250775752799996	11.0392489669	4.584326906509999	54
>P3_F12_70	5.880125014909999	6.78445232472	3.6802100876699995	5.28399130441	2
>P16_A03_66	8.64207040718	4.0354831431900005	1.14361177853	8.6186463659	4
>P2_C07_65	4.69749644315	27.9602431504	4.954926908369999	4.06958852714	26
>P16_B09_70	6.168058546519999	49.3426949236	3.7203864838199996	5.816331043180001	55
>P2_G01_39	5.6922447597	36.2710481683	3.24916450338	5.33919664278	38
>P3_D04_68	6.22481300959	5.18541412134	1.23111021177	6.19384071128	4
>P2_D07_65	6.5923056962599995	43.726671172299994	2.90411467655	6.30960173478	53
>P1_C04_36	6.861026358819999	37.3361455669	1.3608328644999999	6.8154705691499995	36
>P15_B08_67	7.0778502883200005	22.7124761543	1.1505183581799998	7.056210494149999	23
>P1_D12_38	5.75601524994	6.069677680140001	3.35420268261	5.27961780272	2
>P15_C04_65	8.026801466950001	12.117159530699999	1.09483108409	8.01482741078	12
>P3_E03_67	5.81264464952	30.2250852778	2.9798660961400003	5.05711294189	55
>P3_H04_68	5.65414072997	7.48128828842	3.3485059364999996	5.28399130441	2
>P1_A09_37	6.03920716616	38.1926858058	2.51584318562	5.8118822341900005	42
>P15_B04_65	4.66538115348	8.00619964084	3.87806279799	4.216404054080001	5
>P16_G04_66	7.504520090619999	3.15862419417	1.30057871767	7.452207197460001	3
>P1_E03_35	7.0097500336800005	64.513885398	2.71408509958	6.75104126304	68
>P2_F03_39	3.4242975478299997	11.874783541500001	5.34358468248	2.56529064909	16
>P1_H10_38	6.65074283172	49.444961462200006	1.38031925936	6.60581631337	50
>P16_F10_70	4.53480776674	35.9446975083	4.00121023243	4.12726855834	36
>P1_G05_36	4.65932617503	5.41399034421	1.22123516097	4.63176672702	5
>P2_H02_39	4.71888237199	27.101071501	6.01149092053	3.6749295287400003	9
>P2_F09_65	6.1030223032	32.4451429857	6.34984662776	5.3462332105199994	40
>P3_D06_68	4.77287649084	7.005305326799999	2.56993834182	4.491469157719999	5
>P16_E01_66	7.09990637329	4.27702655626	1.70970124118	6.96155100342	1
>P1_B02_35	5.69135266378	36.7029747146	9.67586068325	4.49994611333	18
>P3_A06_68	6.50422273642	5.3964423867699995	1.62549282565	6.38775580235	4
>P1_G03_35	4.65932617503	5.41399034421	1.22123516097	4.63176672702	5
>P15_C05_67	5.09460811697	14.841822099000002	3.21083232732	4.574300764569999	8
>P3_E08_69	6.67931960701	30.451102835100002	1.42788696258	6.61640128174	31
>P1_A04_36	6.864134265669999	37.407811730700004	1.39251824168	6.8154705691499995	36
>P3_A12_70	6.98637612722	12.7358538093	2.4468210851900003	6.702946863459999	2
>P16_C01_66	6.269320593350001	39.7969396218	3.98051690312	5.49604638501	28
>P15_B09_69	4.6950106481	27.9057800045	4.9245985313	4.06958852714	26
>P1_E08_37	5.555740629500001	26.416238150700003	3.7187060584400005	5.20693033232	19
>P1_B11_38	6.8051276106900005	2.5076706500799997	1.22551265359	6.77695790553	2
>P3_B02_67	5.780014692690001	26.1811279604	2.77340130425	5.5125109183	26
>P3_A09_69	6.506519293459999	16.2323190088	2.4918261845	6.23641166531	13
>P2_A02_39	5.2498056141600005	9.14982207402	3.32943420732	4.89568877746	2
